;;;;;kV;;;;;kV;A;A;;;MW;MVar;A;%;MW;MVar;A;%;;MW;MVar;A;%;MW;MVar;A;%;;MW;MVar;A;%;MW;MVar;A;%;%;;MW;MVar;A;%;
string;string;string;string;string;double;string;string;string;string;double;double;double;string;string;double;double;double;double;double;double;double;double;string;double;double;double;double;double;double;double;double;string;double;double;double;double;double;double;double;double;double;string;double;double;double;double;
Trafo_46_par;;Netzgruppe_Default;Standort_46;1;10.0;; Netzgruppe_Default; Standort_46; 1;0.4;;;1;;0.0;0.0;2.8;49.2;0;0;0;0;;0.0;0.0;2.8;49.2;0;0;0;0;;0.0;0.0;2.8;49.2;0;0;0;0;0;;0;0;0;0;
L_46R_22;;Netzgruppe_Default;Standort_31;1;10.0;; Netzgruppe_Default; Standort_65; 1;10.0;319.0;319.0;1;;0.0;-0.0;0.7;0.2;0;0;0;0;;0.0;-0.0;0.7;0.2;0;0;0;0;;0.0;-0.0;0.7;0.2;0;0;0;0;0;;0;0;0;0;
L_43R_22;;Netzgruppe_Default;Standort_43;1;10.0;; Netzgruppe_Default; Standort_0; 1;10.0;319.0;319.0;1;;-0.4;-0.0;25.1;7.9;0;0;0;0;;-0.4;-0.0;25.1;7.9;0;0;0;0;;-0.4;-0.0;25.1;7.9;0;0;0;0;0;;0;0;0;0;
Trafo_43;;Netzgruppe_Default;Standort_43;1;10.0;; Netzgruppe_Default; Standort_43; 1;0.4;;;1;;0.2;0.0;12.6;54.4;0;0;0;0;;0.2;0.0;12.6;54.4;0;0;0;0;;0.2;0.0;12.6;54.4;0;0;0;0;0;;0;0;0;0;
Trafo_43_par;;Netzgruppe_Default;Standort_43;1;10.0;; Netzgruppe_Default; Standort_43; 1;0.4;;;1;;0.2;0.0;12.6;54.4;0;0;0;0;;0.2;0.0;12.6;54.4;0;0;0;0;;0.2;0.0;12.6;54.4;0;0;0;0;0;;0;0;0;0;
L_0R_31;;Netzgruppe_Default;Standort_0;1;10.0;; Netzgruppe_Default; Standort_104; 1;10.0;319.0;319.0;1;;0.9;0.0;52.5;16.5;0;0;0;0;;0.9;0.0;52.5;16.5;0;0;0;0;;0.9;0.0;52.5;16.5;0;0;0;0;0;;0;0;0;0;
Trafo_104;;Netzgruppe_Default;Standort_104;1;10.0;; Netzgruppe_Default; Standort_104; 1;0.4;;;1;;0.1;0.0;8.0;55.5;0;0;0;0;;0.1;0.0;8.0;55.5;0;0;0;0;;0.1;0.0;8.0;55.5;0;0;0;0;0;;0;0;0;0;
Trafo_104_par;;Netzgruppe_Default;Standort_104;1;10.0;; Netzgruppe_Default; Standort_104; 1;0.4;;;1;;0.1;0.0;8.0;55.5;0;0;0;0;;0.1;0.0;8.0;55.5;0;0;0;0;;0.1;0.0;8.0;55.5;0;0;0;0;0;;0;0;0;0;
L_104R_31;;Netzgruppe_Default;Standort_104;1;10.0;; Netzgruppe_Default; Standort_32; 1;10.0;319.0;319.0;1;;0.6;0.0;36.5;11.4;0;0;0;0;;0.6;0.0;36.5;11.4;0;0;0;0;;0.6;0.0;36.5;11.4;0;0;0;0;0;;0;0;0;0;
L_32R_31;;Netzgruppe_Default;Standort_32;1;10.0;; Netzgruppe_Default; Standort_36; 1;10.0;319.0;319.0;1;;0.4;0.0;21.8;6.8;0;0;0;0;;0.4;0.0;21.8;6.8;0;0;0;0;;0.4;0.0;21.8;6.8;0;0;0;0;0;;0;0;0;0;
Trafo_36;;Netzgruppe_Default;Standort_36;1;10.0;; Netzgruppe_Default; Standort_36; 1;0.4;;;1;;0.2;0.0;10.9;75.7;0;0;0;0;;0.2;0.0;10.9;75.7;0;0;0;0;;0.2;0.0;10.9;75.7;0;0;0;0;0;;0;0;0;0;
Trafo_36_par;;Netzgruppe_Default;Standort_36;1;10.0;; Netzgruppe_Default; Standort_36; 1;0.4;;;1;;0.2;0.0;10.9;75.7;0;0;0;0;;0.2;0.0;10.9;75.7;0;0;0;0;;0.2;0.0;10.9;75.7;0;0;0;0;0;;0;0;0;0;
L_36R_31;;Netzgruppe_Default;Standort_32;1;10.0;; Netzgruppe_Default; Standort_41; 1;10.0;319.0;319.0;1;;0.3;-3.2E-04;14.6;4.6;0;0;0;0;;0.3;-3.2E-04;14.6;4.6;0;0;0;0;;0.3;-3.2E-04;14.6;4.6;0;0;0;0;0;;0;0;0;0;
Trafo_41;;Netzgruppe_Default;Standort_41;1;10.0;; Netzgruppe_Default; Standort_41; 1;0.4;;;1;;0.1;0.0;7.3;50.7;0;0;0;0;;0.1;0.0;7.3;50.7;0;0;0;0;;0.1;0.0;7.3;50.7;0;0;0;0;0;;0;0;0;0;
Trafo_41_par;;Netzgruppe_Default;Standort_41;1;10.0;; Netzgruppe_Default; Standort_41; 1;0.4;;;1;;0.1;0.0;7.3;50.7;0;0;0;0;;0.1;0.0;7.3;50.7;0;0;0;0;;0.1;0.0;7.3;50.7;0;0;0;0;0;;0;0;0;0;
L_91R_31;;Netzgruppe_Default;Standort_91;1;10.0;; Netzgruppe_Default; Standort_0; 1;10.0;319.0;319.0;1;;-0.3;-0.0;19.5;6.1;0;0;0;0;;-0.3;-0.0;19.5;6.1;0;0;0;0;;-0.3;-0.0;19.5;6.1;0;0;0;0;0;;0;0;0;0;
Trafo_9;;Netzgruppe_Default;Standort_91;1;10.0;; Netzgruppe_Default; Standort_9; 1;0.4;;;1;;0.2;0.0;9.7;67.4;0;0;0;0;;0.2;0.0;9.7;67.4;0;0;0;0;;0.2;0.0;9.7;67.4;0;0;0;0;0;;0;0;0;0;
Trafo_9_par;;Netzgruppe_Default;Standort_91;1;10.0;; Netzgruppe_Default; Standort_9; 1;0.4;;;1;;0.2;0.0;9.7;67.4;0;0;0;0;;0.2;0.0;9.7;67.4;0;0;0;0;;0.2;0.0;9.7;67.4;0;0;0;0;0;;0;0;0;0;
L_0R_41;;Netzgruppe_Default;Standort_0;1;10.0;; Netzgruppe_Default; Standort_3; 1;10.0;319.0;319.0;1;;2.4;0.1;137.7;43.2;0;0;0;0;;2.4;0.1;137.7;43.2;0;0;0;0;;2.4;0.1;137.7;43.2;0;0;0;0;0;;0;0;0;0;
L_3R_41;;Netzgruppe_Default;Standort_3;1;10.0;; Netzgruppe_Default; Standort_38; 1;10.0;319.0;319.0;1;;2.4;0.1;137.7;43.2;0;0;0;0;;2.4;0.1;137.7;43.2;0;0;0;0;;2.4;0.1;137.7;43.2;0;0;0;0;0;;0;0;0;0;
Trafo_38;;Netzgruppe_Default;Standort_38;1;10.0;; Netzgruppe_Default; Standort_38; 1;0.4;;;1;;0.2;0.0;14.0;60.5;0;0;0;0;;0.2;0.0;14.0;60.5;0;0;0;0;;0.2;0.0;14.0;60.5;0;0;0;0;0;;0;0;0;0;
Trafo_38_par;;Netzgruppe_Default;Standort_38;1;10.0;; Netzgruppe_Default; Standort_38; 1;0.4;;;1;;0.2;0.0;14.0;60.5;0;0;0;0;;0.2;0.0;14.0;60.5;0;0;0;0;;0.2;0.0;14.0;60.5;0;0;0;0;0;;0;0;0;0;
L_38R_41;;Netzgruppe_Default;Standort_38;1;10.0;; Netzgruppe_Default; Standort_42; 1;10.0;319.0;319.0;1;;1.9;0.1;109.8;34.4;0;0;0;0;;1.9;0.1;109.8;34.4;0;0;0;0;;1.9;0.1;109.8;34.4;0;0;0;0;0;;0;0;0;0;
Trafo_42;;Netzgruppe_Default;Standort_42;1;10.0;; Netzgruppe_Default; Standort_42; 1;0.4;;;1;;0.3;0.0;16.2;70.3;0;0;0;0;;0.3;0.0;16.2;70.3;0;0;0;0;;0.3;0.0;16.2;70.3;0;0;0;0;0;;0;0;0;0;
Trafo_42_par;;Netzgruppe_Default;Standort_42;1;10.0;; Netzgruppe_Default; Standort_42; 1;0.4;;;1;;0.3;0.0;16.2;70.3;0;0;0;0;;0.3;0.0;16.2;70.3;0;0;0;0;;0.3;0.0;16.2;70.3;0;0;0;0;0;;0;0;0;0;
L_42R_41;;Netzgruppe_Default;Standort_42;1;10.0;; Netzgruppe_Default; Standort_Knoten_42_Stichabgang; 1;10.0;319.0;319.0;1;;1.3;0.0;77.4;24.3;0;0;0;0;;1.3;0.0;77.4;24.3;0;0;0;0;;1.3;0.0;77.4;24.3;0;0;0;0;0;;0;0;0;0;
L_42R_41_Stich;;Netzgruppe_Default;Standort_Knoten_42_Stichabgang;1;10.0;; Netzgruppe_Default; Standort_71; 1;10.0;319.0;319.0;1;;0.8;0.0;44.6;14.0;0;0;0;0;;0.8;0.0;44.6;14.0;0;0;0;0;;0.8;0.0;44.6;14.0;0;0;0;0;0;;0;0;0;0;
Trafo_71;;Netzgruppe_Default;Standort_71;1;10.0;; Netzgruppe_Default; Standort_71; 1;0.4;;;1;;0.4;0.0;20.9;57.4;0;0;0;0;;0.4;0.0;20.9;57.4;0;0;0;0;;0.4;0.0;20.9;57.4;0;0;0;0;0;;0;0;0;0;
Trafo_71_par;;Netzgruppe_Default;Standort_71;1;10.0;; Netzgruppe_Default; Standort_71; 1;0.4;;;1;;0.4;0.0;20.9;57.4;0;0;0;0;;0.4;0.0;20.9;57.4;0;0;0;0;;0.4;0.0;20.9;57.4;0;0;0;0;0;;0;0;0;0;
L_71R_41;;Netzgruppe_Default;Standort_Knoten_42_Stichabgang;1;10.0;; Netzgruppe_Default; Standort_76; 1;10.0;319.0;319.0;1;;0.6;0.0;32.7;10.3;0;0;0;0;;0.6;0.0;32.7;10.3;0;0;0;0;;0.6;0.0;32.7;10.3;0;0;0;0;0;;0;0;0;0;
Trafo_76;;Netzgruppe_Default;Standort_76;1;10.0;; Netzgruppe_Default; Standort_76; 1;0.4;;;1;;0.3;0.0;16.4;70.9;0;0;0;0;;0.3;0.0;16.4;70.9;0;0;0;0;;0.3;0.0;16.4;70.9;0;0;0;0;0;;0;0;0;0;
Trafo_76_par;;Netzgruppe_Default;Standort_76;1;10.0;; Netzgruppe_Default; Standort_76; 1;0.4;;;1;;0.3;0.0;16.4;70.9;0;0;0;0;;0.3;0.0;16.4;70.9;0;0;0;0;;0.3;0.0;16.4;70.9;0;0;0;0;0;;0;0;0;0;
